T,log_aT
C,-
100.0,-16.228168239944775
92.0,-15.679974769225517
85.0,-15.028557420608765
77.0,-14.284165922188064
70.0,-13.448857885974899
62.0,-12.518306646690052
55.0,-11.443880919672331
47.0,-10.14018377273363
40.0,-8.36481813376938
32.0,-6.520459646325698
25.0,-4.7738168359961515
18.0,-3.1241769166798665
10.0,-1.4985097948292192
3.0,0.0
-5.0,2.2070471777626692
-12.0,4.537414236040767
-20.0,6.844422488367002
-27.0,8.533060990477228
-35.0,10.043906332280969
-42.0,11.449235290344344
-50.0,12.341761942568635
